english,urdu
"IN THE SUPREME COURT OF PAKISTAN (Original Jurisdiction) PRESENT : MR. JUSTICE IFTIKHAR MUHAMMAD CHAUDHRY,HCJ MR. JUSTICE JAVED IQBAL MR. JUSTICE MIAN SHAKIRULLAH JAN MR. JUSTICE TASSADUQ HUSSAIN JILLANI MR. JUSTICE NASIR -UL-MULK MR. JUSTICE RAJA FAYYAZ AHMED MR. JUSTICE MUHAMMAD SAIR ALI MR. JUSTICE MAHMOOD AKHTAR SHAHID SIDDIQUI MR. JUSTICE JAWWAD S. KHAWAJA MR. JUSTICE ANWAR ZAHEER JAMALI MR. JUSTICE KHILJI ARIF HUSSAIN MR. JUSTICE RAHMAT HUSSAIN JAFFERI MR. JUSTICE TARIQ PARVEZ MR. JUSTICE MIA N SAQIB NISAR MR. JUSTICE ASIF SAEED KHAN KHOSA MR. JUSTICE GHULAM RABBANI MR. JUSTICE KHALIL -UR-REHMAN RAMDAY CONSTITUTION PETITIONS NOS.",سپریم کورٹ آف پاکستان میں (اصل دائرہ اختیار) موجودہ: مسٹر۔ جسٹس افتخار محمد چودھری، ایچ سی جے مسٹر۔ جسٹس جاوید اقبال صاحب جسٹس میاں شکیر اللہ جان صاحب جسٹس تصدق حسین جیلانی صاحب جسٹس ناصر الملک مسٹر۔ جسٹس راجہ فیاض احمد صاحب جسٹس محمد سائر علی مسٹر۔ جسٹس محمود اختر شاہد صدیقی صاحب جسٹس جواد ایس خواجہ صاحب جسٹس انور ظہیر جمالی صاحب جسٹس خلجی عارف حسین مسٹر۔ جسٹس رحمت حسین جعفری صاحب جسٹس طارق پرویز صاحب جسٹس میاں ثاقب نثار صاحب جسٹس آصف سعید خان کھوسہ صاحب جسٹس غلام ربانی صاحب جسٹس خلیل الرحمٰن رمدے آئینی پٹیشنز نمبر۔
"11 -15, 18 -22, 24, 31, 35, 36, 37 & 39-44/2010 , CM APPEAL NO.",11 -15، 18 -22، 24، 31، 35، 36، 37 اور 39-44/2010، سی ایم اپیل نمبر۔
"91/201 0, HRC Nos.20492 -P &22753 -K/10 and Civil Petiti on.",91/201 0، HRC نمبر 20492 -P &22753 -K/10 اور سول پیٹی آن۔
"1901/2010 (On appeal from the order of PHC, Peshawar dt:16.6.10 passed in W.P.",1901/2010 (پی ایچ سی، پشاور کے حکم سے اپیل پر تاریخ: 16.6.10 ڈبلیو پی میں منظور
1581/10) Nadeem Ahmed Advocate ….,1581/10) ندیم احمد ایڈووکیٹ….
P. 12/2010) Watan Party thro ugh its Chairman ….,صفحہ 12/2010) وطن پارٹی اپنے چیئرمین کے ذریعے ….
P. 13/2010) Supreme Court Bar Association ….,P. 13/2010) سپریم کورٹ بار ایسوسی ایشن ….
P. 14/2010) Muhammad Ijazul Haq ….,صفحہ 14/2010) محمد اعجاز الحق ….
2 Lahore High Court Bar Association ….,2 لاہور ہائی کورٹ بار ایسوسی ایشن ….
P. 18 /2010) Lahore High Court Rawalpindi Bench Bar Association ….,P. 18/2010) لاہور ہائی کورٹ راولپنڈی بینچ بار ایسوسی ایشن ….
P. 19/2010) Pakistan Lawyers Forum ….,صفحہ 19/2010) پاکستان لائرز فورم….
P. 20/2010) Sardar Khan Niazi ….,P. 20/2010) سردار خان نیازی ….
P. 21/2010) Shahid Orakzai ….,صفحہ 21/2010) شاہد اورکزئی ….
P. 22/2010) M. Kowkab Iqbal ….,صفحہ 22/2010) ایم کوکب اقبال….
P. 24/2010) Al-Jehad Trust ….,صفحہ 24/2010) الجہاد ٹرسٹ ….
P. 31/2010) District Bar Association Sangarh ….,P. 31/2010) ڈسٹرکٹ بار ایسوسی ایشن سانگڑھ ....
P. 35/2010) District Bar Association Gujrat ….,P. 35/2010) ڈسٹرکٹ بار ایسوسی ایشن گجرات ....
P. 36/2010) District Bar Association Sialkot ….,P. 36/2010) ڈسٹرکٹ بار ایسوسی ایشن سیالکوٹ ….
P. 37/2010) Arshad Mahmood Bago etc.,صفحہ 37/2010) ارشد محمود بگو وغیرہ۔
P. 39/2010) Dr. Abdul Hafeez Pirzada ….,صفحہ 39/2010) ڈاکٹر عبدالحفیظ پیرزادہ….
P. 40/2010) Dr. Muhammad Aslam Khaki ….,صفحہ 40/2010) ڈاکٹر محمد اسلم خاکی….
P. 41/2010) Shamshad Ahmed Mangat ….,صفحہ 41/2010) شمشاد احمد مانگٹ….
P. 42/2010) Julious Salik ….,صفحہ 42/2010) جولیس سالک….
P. 43/2010) Concerned Citizens of Pakistan etc.,P. 43/2010) پاکستان کے متعلقہ شہری وغیرہ۔
P. 44/2010) Application by Lawyers of Hazara Division….,P. 44/2010) ہزارہ ڈویژن کے وکلاء کی درخواست….
20492 -P/10) Application by Baba Sardar Haider Zaman….,20492 -P/10) بابا سردار حیدر زمان کی درخواست….
Watan Par ty through its Chairman ….,وطن پارٹی اپنے چیئرمین کے ذریعے ….
APPELLANT (In CM Appeal No.,اپیل کنندہ (وزیر اعلیٰ اپیل نمبر میں
P. NIL/2010) VERSUS Federation of Pakistan and others ….,P. NIL/2010) بمقابلہ فیڈریشن آف پاکستان اور دیگر ….
"RESPONDENTS For the petitioner: Mr. Muhammad Akram Sheikh, Sr. ASC , (Const.",درخواست گزار کے لیے جواب دہندگان: جناب محمد اکرم شیخ، سینئر ASC، (Const.
"Zaidi , AOR Assisted by Barrister Sharjeel Adnan Sh., Adv.",زیدی، اے او آر کی معاونت بیرسٹر شرجیل عدنان، ایڈووکیٹ۔
"M. Ishaque Shah, Adv Hafiz Muhammad Naeem, Adv Ms. Sameen Khan, Adv For the petitioner: Mr. Muhammad Ikram Ch., Sr. ASC (Const.",ایم اسحاق شاہ، ایڈووکیٹ حافظ محمد نعیم، ایڈووکیٹ محترمہ سمین خان، ایڈووکیٹ برائے درخواست گزار: جناب محمد اکرام چوہدری، سینئر اے ایس سی (کانسٹ۔
"P. 12/2010) Mr. Arshad Ali Chaudhry, AOR Assisted by Syed Masood Hussain, Adv.",P. 12/2010) جناب ارشد علی چوہدری، AOR معاون سید مسعود حسین، Adv.
"For the petitioner: Barrister Zafarulla h Khan, Sr. ASC (Const.",درخواست گزار کے لیے: بیرسٹر ظفر اللہ خان، سینئر اے ایس سی (کانسٹ۔
P. 13/2010 & CM Appeal No.,صفحہ 13/2010 اور سی ایم اپیل نمبر۔
"91/2010) For the petitioner: Mr. Hamid Khan, Sr. ASC (Const.",91/2010) درخواست گزار کے لیے: جناب حامد خان، سینئر ASC (Const.
"P. 14, 18, 35 & 36 , Mr. Rashid A. Rizvi, Sr. ASC 37 & 39/2010) Mr. Ahmed Awais, ASC Mr. M.S.",صفحہ 14، 18، 35 اور 36، جناب راشد اے رضوی، سینئر اے ایس سی 37 اور 39/2010) جناب احمد اویس، اے ایس سی مسٹر ایم ایس۔
"Khattak, AOR Assisted by Mr. Waqar Rana, Adv.",خٹک، اے او آر اسسٹڈ مسٹر وقار رانا، ایڈووکیٹ۔
"Mr. Taimur Inayat Malik, Adv.",جناب تیمور عنایت ملک، ایڈووکیٹ۔
For the petitioner: Mr. M.A.,درخواست گزار کے لیے: مسٹر ایم اے۔
"P. 15/2010) Mr. Arshad Ali Chaudhry, AOR For the petitioner: Syed Zulfiqar Abbas Naqvi, ASC (Const.",P. 15/2010) جناب ارشد علی چوہدری، AOR درخواست گزار کے لیے: سید ذوالفقار عباس نقوی، ASC (Const.
"P. 19/2010) Mr. Arshad Ali Chaudhry, AOR Petitioner: Mr. A.K.",P. 19/2010) جناب ارشد علی چوہدری، اے او آر درخواست گزار: مسٹر اے کے۔
"4 Petitioner: Sardar Khan Niazi , In Person (Const.",4 درخواست گزار: سردار خان نیازی، ذاتی طور پر (مقابلہ۔
"P. 21/2010) Petitioner: Mr. Shahid Orakzai , In Person (Const.",P. 21/2010) درخواست گزار: جناب شاہد اورکزئی، ذاتی طور پر (مقابلہ۔
"1901/10 ) Petitioner: Mr. M. Kowkab Iqbal , ASC, In Person (Const.",1901/10) درخواست گزار: مسٹر ایم کوکب اقبال، اے ایس سی، ذاتی طور پر (مقابلہ۔
